705,254,386,200,435,glide
702,254,386,200,438,glide
699,254,386,200,441,glide
696,254,386,200,424,flap
693,254,386,200,427,glide
690,254,386,200,430,glide
687,254,386,200,433,glide
684,254,386,200,436,glide
681,254,386,200,439,glide
678,254,386,200,422,flap
675,254,386,200,425,glide
672,254,386,200,428,glide
669,254,386,200,431,glide
666,254,386,200,434,glide
663,254,386,200,437,glide
660,254,386,200,440,glide
657,254,386,200,423,flap
654,254,386,200,426,glide
651,254,386,200,429,glide
648,254,386,200,432,glide
645,254,386,200,435,glide
642,254,386,200,438,glide
639,254,386,200,421,flap
636,254,386,200,424,glide
633,254,386,200,427,glide
630,254,386,200,430,glide
627,254,386,200,433,glide
624,254,386,200,436,glide
621,254,386,200,419,flap
618,254,386,200,422,glide
615,254,386,200,425,glide
612,254,386,200,428,glide
609,254,386,200,431,glide
606,254,386,200,434,glide
603,254,386,200,417,flap
600,254,386,200,420,glide
597,254,386,200,423,glide
594,254,386,200,426,glide
591,254,386,200,429,glide
588,254,386,200,432,glide
585,254,386,200,415,flap
582,254,386,200,418,glide
579,254,386,200,421,glide
576,254,386,200,424,glide
573,254,386,200,427,glide
570,254,386,200,430,glide
567,254,386,200,413,flap
564,254,386,200,416,glide
561,254,386,200,419,glide
558,254,386,200,422,glide
555,254,386,200,425,glide
552,254,386,200,428,glide
549,254,386,200,411,flap
546,254,386,200,414,glide
543,254,386,200,417,glide
540,254,386,200,420,glide
537,254,386,200,423,glide
534,254,386,200,426,glide
531,254,386,200,429,glide
528,254,386,200,432,glide
525,254,386,200,435,glide
522,254,386,200,418,flap
519,254,386,200,421,glide
516,254,386,200,424,glide
513,254,386,200,407,flap
510,254,386,200,410,glide
507,254,386,200,413,glide
504,254,386,200,416,glide
501,254,386,200,419,glide
498,254,386,200,422,glide
495,254,386,200,425,glide
492,254,386,200,428,glide
489,254,386,200,431,glide
486,254,386,200,414,flap
483,254,386,200,417,glide
480,254,386,200,420,glide
477,254,386,200,423,glide
474,254,386,200,426,glide
471,254,386,200,429,glide
468,254,386,200,412,flap
465,254,386,200,415,glide
462,254,386,200,418,glide
459,254,386,200,421,glide
456,254,386,200,424,glide
453,254,386,200,427,glide
450,254,386,200,410,flap
447,254,386,200,413,glide
444,254,386,200,416,glide
441,254,386,200,419,glide
438,254,386,200,422,glide
435,254,386,200,425,glide
432,254,386,200,408,flap
429,254,386,200,411,glide
426,254,386,200,414,glide
423,254,386,200,417,glide
420,254,386,200,420,glide
417,254,386,200,423,glide
414,254,386,200,406,flap
411,254,386,200,409,glide
408,254,386,200,412,glide
405,254,386,200,415,glide
402,254,386,200,418,glide
399,254,386,200,421,glide
396,254,386,200,404,flap
393,254,386,200,407,glide
390,254,386,200,410,glide
387,254,386,200,413,glide
384,254,386,200,416,glide
381,254,386,200,419,glide
378,254,386,200,422,glide
375,254,386,200,425,glide
372,254,386,200,428,glide
369,254,386,200,431,glide
366,254,386,200,434,glide
363,254,386,200,437,glide
360,254,386,200,440,glide
357,254,386,200,443,glide
354,254,386,200,446,glide
351,254,386,200,429,flap
348,254,386,200,432,glide
345,254,386,200,435,glide
342,254,386,200,418,flap
339,254,386,200,421,glide
336,254,386,200,424,glide
333,254,386,200,407,flap
330,254,386,200,410,glide
327,254,386,200,413,glide
324,254,386,200,396,flap
321,254,386,200,399,glide
318,254,386,200,402,glide
315,254,386,200,385,flap
312,254,386,200,388,glide
309,254,386,200,391,glide
306,254,386,200,374,flap
303,254,386,200,377,glide
300,254,386,200,380,glide
297,254,386,200,363,flap
294,254,386,200,366,glide
291,254,386,200,369,glide
288,254,386,200,352,flap
285,254,386,200,355,glide
282,254,386,200,358,glide
279,254,386,200,341,flap
276,254,386,200,344,glide
273,254,386,200,347,glide
270,254,386,200,330,flap
267,254,386,200,333,glide
264,254,386,200,336,glide
261,254,386,200,319,flap
258,254,386,200,322,glide
255,254,386,200,325,glide
252,254,386,200,308,flap
249,254,386,200,311,glide
246,254,386,200,314,glide
243,254,386,200,297,flap
240,254,386,200,300,glide
237,254,386,200,303,glide
234,254,386,200,286,flap
231,254,386,200,289,glide
228,254,386,200,292,glide
225,254,386,200,275,flap
222,254,386,200,278,glide
219,254,386,200,281,glide
216,254,386,200,264,flap
213,254,386,200,267,glide
210,254,386,200,270,glide
